id,description,dataType
321358,"Hummus, commercial",Foundation
321360,"Tomatoes, grape, raw",Foundation
321611,"Beans, snap, green, canned, regular pack, drained solids",Foundation
323121,"Frankfurter, beef, unheated",Foundation
323294,"Nuts, almonds, dry roasted, with salt added",Foundation
323505,"Kale, raw",Foundation
323604,"Egg, whole, raw, frozen, pasteurized",Foundation
323697,"Egg, white, raw, frozen, pasteurized",Foundation
323793,"Egg, white, dried",Foundation
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Foundation
324653,"Pickles, cucumber, dill or kosher dill",Foundation
325036,"Cheese, parmesan, grated",Foundation
325198,"Cheese, pasteurized process, American, vitamin D fortified",Foundation
325287,"Grapefruit juice, white, canned or bottled, unsweetened",Foundation
325430,"Peaches, yellow, raw",Foundation
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",Foundation
325871,"Bread, white, commercially prepared",Foundation
326196,"Kale, frozen, cooked, boiled, drained, without salt",Foundation
326698,"Mustard, prepared, yellow",Foundation
327046,"Kiwifruit, green, raw",Foundation
327357,"Nectarines, raw",Foundation
328637,"Cheese, cheddar",Foundation
328841,"Cheese, cottage, lowfat, 2% milkfat",Foundation
329370,"Cheese, mozzarella, low moisture, part-skim",Foundation
329490,"Egg, whole, dried",Foundation
329596,"Egg, yolk, raw, frozen, pasteurized",Foundation
329716,"Egg, yolk, dried",Foundation
330137,"Yogurt, Greek, plain, nonfat",Foundation
330415,"Yogurt, Greek, strawberry, nonfat",Foundation
330458,"Oil, coconut",Foundation
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Foundation
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Foundation
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",Foundation
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",Foundation
332791,"Olives, green, Manzanilla, stuffed with pimiento",Foundation
333008,"Cookies, oatmeal, soft, with raisins",Foundation
333281,"Tomatoes, canned, red, ripe, diced",Foundation
333374,"Fish, haddock, raw",Foundation
333476,"Fish, pollock, raw",Foundation
334194,"Fish, tuna, light, canned in water, drained solids",Foundation
334536,"Restaurant, Chinese, fried rice, without meat",Foundation
334628,"Restaurant, Latino, tamale, pork",Foundation
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",Foundation
335240,"Bread, whole-wheat, commercially prepared",Foundation
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Foundation
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Foundation
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Foundation
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Foundation
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Foundation
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Foundation
746764,"Carrots, frozen, unprepared",Foundation
746765,"Cheese, dry white, queso seco",Foundation
746766,"Cheese, ricotta, whole milk",Foundation
746767,"Cheese, swiss",Foundation
746768,"Figs, dried, uncooked",Foundation
746769,"Lettuce, cos or romaine, raw",Foundation
746770,"Melons, cantaloupe, raw",Foundation
746771,"Oranges, raw, navels",Foundation
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Foundation
746773,"Pears, raw, bartlett",Foundation
746774,"Restaurant, Chinese, sweet and sour pork",Foundation
746775,"Salt, table, iodized",Foundation
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Foundation
746777,"Sauce, salsa, ready-to-serve",Foundation
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Foundation
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Foundation
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",Foundation
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Foundation
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",Foundation
746783,"Sausage, turkey, breakfast links, mild, raw",Foundation
746784,"Sugars, granulated",Foundation
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",Foundation
746952,"Ham, sliced, restaurant",Foundation
747429,"Cheese, American, restaurant",Foundation
747430,"Beans, Dry, Medium Red (0% moisture)",Foundation
747431,"Beans, Dry, Red (0% moisture)",Foundation
747432,"Beans, Dry, Flor de Mayo (0% moisture)",Foundation
747433,"Beans, Dry, Brown (0% moisture)",Foundation
747434,"Beans, Dry, Tan (0% moisture)",Foundation
747435,"Beans, Dry, Light Tan (0% moisture)",Foundation
747436,"Beans, Dry, Carioca (0% moisture)",Foundation
747437,"Beans, Dry, Cranberry (0% moisture)",Foundation
747438,"Beans, Dry, Light Red Kidney (0% moisture)",Foundation
747439,"Beans, Dry, Pink (0% moisture)",Foundation
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",Foundation
747441,"Beans, Dry, Navy (0% moisture)",Foundation
747442,"Beans, Dry, Small White (0% moisture)",Foundation
747443,"Beans, Dry, Small Red (0% moisture)",Foundation
747444,"Beans, Dry, Black (0% moisture)",Foundation
747445,"Beans, Dry, Pinto (0% moisture)",Foundation
747446,"Beans, Dry, Great Northern (0% moisture)",Foundation
747447,"Broccoli, raw",Foundation
747693,"Ketchup, restaurant",Foundation
747997,"Eggs, Grade A, Large, egg white",Foundation
748236,"Eggs, Grade A, Large, egg yolk",Foundation
748278,"Oil, canola",Foundation
748323,"Oil, corn",Foundation
748366,"Oil, soybean",Foundation
748608,"Oil, olive, extra virgin",Foundation
748967,"Eggs, Grade A, Large, egg whole",Foundation
749420,"Pork, cured, bacon, cooked, restaurant",Foundation
789828,"Butter, stick, unsalted",Foundation
789890,"Flour, wheat, all-purpose, enriched, bleached",Foundation
789951,"Flour, wheat, all-purpose, enriched, unbleached",Foundation
790018,"Flour, wheat, all-purpose, unenriched, unbleached",Foundation
790085,"Flour, whole wheat, unenriched",Foundation
790146,"Flour, bread, white, enriched, unbleached",Foundation
790214,"Flour, rice, white, unenriched",Foundation
790276,"Flour, corn, yellow, fine meal, enriched",Foundation
790508,"Butter, stick, salted",Foundation
790577,"Onions, red, raw",Foundation
790646,"Onions, yellow, raw",Foundation
1104647,"Garlic, raw",Foundation
1104705,"Flour, soy, defatted",Foundation
1104766,"Flour, soy, full-fat",Foundation
1104812,"Flour, rice, brown",Foundation
1104867,"Flour, rice, glutinous",Foundation
1104913,"Flour, pastry, unenriched, unbleached",Foundation
1104962,"Onions, white, raw",Foundation
1105073,"Bananas, overripe, raw",Foundation
1105314,"Bananas, ripe and slightly ripe, raw",Foundation
1750339,"Apples, red delicious, with skin, raw",Foundation
1750340,"Apples, fuji, with skin, raw",Foundation
1750341,"Apples, gala, with skin, raw",Foundation
1750342,"Apples, granny smith, with skin, raw",Foundation
1750343,"Apples, honeycrisp, with skin, raw",Foundation
1750348,"Oil, peanut",Foundation
1750349,"Oil, sunflower",Foundation
1750350,"Oil, safflower",Foundation
1750351,"Oil, olive, extra light",Foundation
1999626,"Mushroom, lion's mane",Foundation
1999627,"Mushroom, oyster",Foundation
1999628,"Mushrooms, shiitake",Foundation
1999629,"Mushrooms, white button",Foundation
1999630,"Soy milk, unsweetened, plain, shelf stable",Foundation
1999631,"Almond milk, unsweetened, plain, shelf stable",Foundation
1999632,"Spinach, baby",Foundation
1999633,"Spinach, mature",Foundation
1999634,"Tomato, roma",Foundation
2003586,"Flour, 00",Foundation
2003587,"Flour, spelt, whole grain",Foundation
2003588,"Flour, semolina, coarse and semi-coarse",Foundation
2003589,"Flour, semolina, fine",Foundation
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",Foundation
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",Foundation
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",Foundation
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",Foundation
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",Foundation
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",Foundation
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",Foundation
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",Foundation
2003598,"Mushroom, portabella",Foundation
2003599,"Mushroom, king oyster",Foundation
2003600,"Mushroom, enoki",Foundation
2003601,"Mushroom, crimini",Foundation
2003602,"Mushroom, maitake",Foundation
2003603,"Mushroom, beech",Foundation
2003604,"Mushroom, pioppini",Foundation
2257044,"Soy milk, sweetened, plain, refrigerated",Foundation
2257045,"Almond milk, unsweetened, plain, refrigerated",Foundation
2257046,"Oat milk, unsweetened, plain, refrigerated",Foundation
2258586,"Carrots, mature, raw",Foundation
2258587,"Carrots, baby, raw",Foundation
2258588,"Peppers, bell, green, raw",Foundation
