foodId,servingSize,servingSizeUnit,householdServingFullText
321358,33.9,tbsp,tablespoon
321360,49.7,tomatoes,tomatoes
321360,152.0,cup,cup
321611,129.0,cup,cup
323121,48.6,piece,piece
323294,135.0,cup,cup
323505,20.6,cup,cup
323604,28.4,oz,oz
323697,28.4,oz,oz
323793,7.0,tbsp,tablespoon
323793,107.0,cup,cup
324317,20.2,piece,piece
324653,40.4,spear,spear
325036,7.6,tbsp,tablespoon
325198,20.6,slice,slice
325287,257.0,cup,cup
325430,147.0,fruit,fruit
325430,154.0,cup,cup
325430,173.0,fruit,fruit
325430,225.0,fruit,fruit
325430,161.0,fruit,fruit
325430,147.0,serving,serving
325524,127.0,cup,cup
325871,27.3,slice,slice
326196,118.0,cup,cup
326698,249.0,cup,cup
326698,6.0,tsp,teaspoon
327357,129.0,each,each
327357,156.0,each,each
327357,142.0,each,each
327357,140.0,serving,serving
327357,143.0,cup,cup
328841,220.0,cup,cup
329370,86.2,cup,cup
329490,85.0,cup,cup
329490,5.0,tbsp,tablespoon
329490,28.4,oz,oz
329596,28.4,oz,oz
329716,4.0,tbsp,tablespoon
329716,67.0,cup,cup
329716,28.4,oz,oz
330137,156.0,container,container
330415,150.0,container,container
330458,11.6,tbsp,tablespoon
331897,104.0,drumstick,drumstick
331897,94.7,drumstick,drumstick
331960,174.0,piece,piece
332282,135.0,serving,serving
332397,13.5,slice,slice
332791,3.2,olive,olive
333008,27.0,cookie,cookie
333281,245.0,cup,cup
333374,176.0,fillet,fillet
333476,177.0,fillet,fillet
334536,133.0,cup,cup
334628,142.0,piece,piece
334720,126.0,piece,piece
335240,32.1,slice,slice
746758,462.0,roast,roast
746759,284.0,steak,steak
746760,690.0,roast,roast
746761,788.0,roast,roast
746762,525.0,steak,steak
746763,360.0,steak,steak
746765,97.3,cup,cup
746766,64.6,cup,cup
746766,258.0,cup,cup
746766,129.0,cup,cup
746767,21.9,slice,slice
746767,10.9,slice,slice
746768,8.4,each,each
746768,149.0,cup,cup
746769,581.0,bunch,bunch
746770,69.0,wedge,wedge
